CustomerID,TotalOrders,TotalRevenue,FirstOrderDate,LastOrderDate,DaysSinceLastOrder
11012,2,81.260000,2013-08-16 00:00:00.000,2014-03-17 00:00:00.000,4402
11013,2,113.960000,2013-09-13 00:00:00.000,2014-06-23 00:00:00.000,4304
11014,2,138.450000,2013-08-23 00:00:00.000,2013-09-30 00:00:00.000,4570
11021,1,2371.960000,2013-06-25 00:00:00.000,2013-06-25 00:00:00.000,4667
11022,1,2322.280000,2013-06-22 00:00:00.000,2013-06-22 00:00:00.000,4670
11040,1,2350.960000,2013-09-03 00:00:00.000,2013-09-03 00:00:00.000,4597
11062,1,2351.960000,2013-06-09 00:00:00.000,2013-06-09 00:00:00.000,4683
11063,1,2372.950000,2013-06-14 00:00:00.000,2013-06-14 00:00:00.000,4678
11066,2,81.260000,2013-10-31 00:00:00.000,2014-02-19 00:00:00.000,4428
11067,2,105.750000,2014-01-18 00:00:00.000,2014-06-14 00:00:00.000,4313
11084,2,3078.610000,2013-06-06 00:00:00.000,2014-04-23 00:00:00.000,4365
11128,2,143.940000,2013-11-19 00:00:00.000,2014-01-12 00:00:00.000,4466
11129,2,5873.260000,2012-01-06 00:00:00.000,2013-06-11 00:00:00.000,4681
11130,1,37.290000,2014-05-11 00:00:00.000,2014-05-11 00:00:00.000,4347
11133,1,71.960000,2014-06-01 00:00:00.000,2014-06-01 00:00:00.000,4326
11137,2,202.570000,2013-12-31 00:00:00.000,2014-06-22 00:00:00.000,4305
11144,1,2399.970000,2013-06-27 00:00:00.000,2013-06-27 00:00:00.000,4665
11145,1,2309.970000,2013-06-27 00:00:00.000,2013-06-27 00:00:00.000,4665
11152,1,2294.990000,2013-06-11 00:00:00.000,2013-06-11 00:00:00.000,4681
11153,2,109.770000,2013-08-29 00:00:00.000,2013-08-29 00:00:00.000,4602
11154,1,2319.990000,2013-06-12 00:00:00.000,2013-06-12 00:00:00.000,4680
11157,2,41.280000,2013-12-24 00:00:00.000,2014-02-11 00:00:00.000,4436
11166,2,87.960000,2014-03-16 00:00:00.000,2014-05-08 00:00:00.000,4350
11167,2,3126.330000,2013-06-09 00:00:00.000,2014-04-30 00:00:00.000,4358
11170,2,157.230000,2014-01-26 00:00:00.000,2014-05-31 00:00:00.000,4327
11172,2,128.940000,2013-10-03 00:00:00.000,2014-06-13 00:00:00.000,4314
11173,2,102.490000,2013-08-02 00:00:00.000,2014-05-26 00:00:00.000,4332
11182,2,81.260000,2014-01-28 00:00:00.000,2014-06-07 00:00:00.000,4320
11187,2,107.480000,2013-09-03 00:00:00.000,2014-01-06 00:00:00.000,4472
11189,2,5944.220000,2012-01-26 00:00:00.000,2013-07-08 00:00:00.000,4654
11192,2,113.960000,2013-11-23 00:00:00.000,2014-02-25 00:00:00.000,4422
11193,2,41.280000,2013-07-28 00:00:00.000,2014-01-18 00:00:00.000,4460
11195,2,105.750000,2013-09-14 00:00:00.000,2014-03-24 00:00:00.000,4395
11196,2,162.280000,2013-08-03 00:00:00.000,2014-02-24 00:00:00.000,4423
11197,2,207.560000,2013-10-02 00:00:00.000,2013-12-20 00:00:00.000,4489
11204,2,77.270000,2014-01-09 00:00:00.000,2014-04-12 00:00:00.000,4376
11205,2,37.290000,2013-12-27 00:00:00.000,2014-03-10 00:00:00.000,4409
11206,2,77.270000,2013-10-11 00:00:00.000,2013-10-30 00:00:00.000,4540
11207,2,77.270000,2013-07-03 00:00:00.000,2014-03-20 00:00:00.000,4399
11213,2,77.270000,2013-08-28 00:00:00.000,2014-02-09 00:00:00.000,4438
11214,2,162.280000,2014-01-14 00:00:00.000,2014-04-21 00:00:00.000,4367
11216,2,5948.240000,2012-01-15 00:00:00.000,2013-07-08 00:00:00.000,4654
11217,2,5953.250000,2012-01-10 00:00:00.000,2013-07-17 00:00:00.000,4645
11218,2,39.580000,2013-07-31 00:00:00.000,2014-06-06 00:00:00.000,4321
11219,2,39.580000,2014-03-31 00:00:00.000,2014-06-26 00:00:00.000,4301
11224,3,6685.590000,2012-01-07 00:00:00.000,2014-05-05 00:00:00.000,4353
11225,2,73.250000,2013-11-22 00:00:00.000,2014-02-06 00:00:00.000,4441
11226,2,37.290000,2013-07-24 00:00:00.000,2013-08-31 00:00:00.000,4600
11231,2,64.260000,2013-07-13 00:00:00.000,2014-04-14 00:00:00.000,4374
11232,2,39.580000,2014-02-20 00:00:00.000,2014-04-15 00:00:00.000,4373
11235,2,138.450000,2013-12-04 00:00:00.000,2014-06-07 00:00:00.000,4320
11236,2,113.960000,2014-03-05 00:00:00.000,2014-06-08 00:00:00.000,4319
11254,2,203.920000,2014-04-25 00:00:00.000,2014-05-16 00:00:00.000,4342
11255,2,113.960000,2013-07-26 00:00:00.000,2013-08-31 00:00:00.000,4600
11256,2,81.260000,2013-09-15 00:00:00.000,2014-03-18 00:00:00.000,4401
11259,3,6770.600000,2012-02-04 00:00:00.000,2014-05-22 00:00:00.000,4336
11263,3,6754.060000,2012-01-29 00:00:00.000,2014-05-12 00:00:00.000,4346
11264,2,3182.270000,2013-06-04 00:00:00.000,2014-05-02 00:00:00.000,4356
11265,1,2351.960000,2013-06-05 00:00:00.000,2013-06-05 00:00:00.000,4687
11266,2,5922.230000,2012-02-10 00:00:00.000,2013-06-22 00:00:00.000,4670
11274,2,5888.240000,2012-01-29 00:00:00.000,2013-07-27 00:00:00.000,4635
11278,2,5908.250000,2012-02-16 00:00:00.000,2013-06-05 00:00:00.000,4687
