SalesOrderID,OrderDate,CustomerID,TerritoryID,Territory,Country,ProductID,ProductName,Category,Subcategory,OrderQty,UnitPrice,UnitPriceDiscount,LineTotal,TotalDue
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,776,"Mountain-100 Black, 42",Bikes,Mountain Bikes,1,2024.994,0.00,2024.994000,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,777,"Mountain-100 Black, 44",Bikes,Mountain Bikes,3,2024.994,0.00,6074.982000,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,778,"Mountain-100 Black, 48",Bikes,Mountain Bikes,1,2024.994,0.00,2024.994000,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,771,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,1,2039.994,0.00,2039.994000,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,772,"Mountain-100 Silver, 42",Bikes,Mountain Bikes,1,2039.994,0.00,2039.994000,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,773,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,2,2039.994,0.00,4079.988000,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,774,"Mountain-100 Silver, 48",Bikes,Mountain Bikes,1,2039.994,0.00,2039.994000,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,714,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,3,28.8404,0.00,86.521200,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,716,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,1,28.8404,0.00,28.840400,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,709,"Mountain Bike Socks, M",Clothing,Socks,6,5.70,0.00,34.200000,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,712,AWC Logo Cap,Clothing,Caps,2,5.1865,0.00,10.373000,23153.2339
43659,2011-05-31 00:00:00.000,29825,5,Southeast,US,711,"Sport-100 Helmet, Blue",Accessories,Helmets,4,20.1865,0.00,80.746000,23153.2339
43660,2011-05-31 00:00:00.000,29672,5,Southeast,US,762,"Road-650 Red, 44",Bikes,Road Bikes,1,419.4589,0.00,419.458900,1457.3288
43660,2011-05-31 00:00:00.000,29672,5,Southeast,US,758,"Road-450 Red, 52",Bikes,Road Bikes,1,874.794,0.00,874.794000,1457.3288
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,745,"HL Mountain Frame - Black, 48",Components,Mountain Frames,1,809.76,0.00,809.760000,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,743,"HL Mountain Frame - Black, 42",Components,Mountain Frames,1,714.7043,0.00,714.704300,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,747,"HL Mountain Frame - Black, 38",Components,Mountain Frames,2,714.7043,0.00,1429.408600,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,712,AWC Logo Cap,Clothing,Caps,4,5.1865,0.00,20.746000,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,715,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,4,28.8404,0.00,115.361600,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,742,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,2,722.5949,0.00,1445.189800,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,775,"Mountain-100 Black, 38",Bikes,Mountain Bikes,3,2024.994,0.00,6074.982000,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,778,"Mountain-100 Black, 48",Bikes,Mountain Bikes,2,2024.994,0.00,4049.988000,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,711,"Sport-100 Helmet, Blue",Accessories,Helmets,2,20.1865,0.00,40.373000,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,741,"HL Mountain Frame - Silver, 48",Components,Mountain Frames,2,818.70,0.00,1637.400000,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,776,"Mountain-100 Black, 42",Bikes,Mountain Bikes,4,2024.994,0.00,8099.976000,36865.8012
43661,2011-05-31 00:00:00.000,29734,6,Canada,CA,773,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,2,2039.994,0.00,4079.988000,36865.8012
